district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent
alappuzha,Kattanam,₹1.5 Cr,15000000,"18,730 sqft",18730,,800.8542445,42.99816345,348852.1089
alappuzha,Ambalapuzha,₹5.5 Lac,550000,"4,791 sqft",4791,,114.7985807,10.99862259,50006.26174
alappuzha,Old Mavelikkara,₹32.81 Lac,3281000,"3,811 sqft",3811,,860.9288901,8.748852158,375020.6245
alappuzha,Punnamoodu,₹1.8 Cr,18000000,"5,227 sqft",5227,,3443.65793,11.99954086,1500057.394
alappuzha,Thumpoly,₹4 Lac,400000,"11,499 sqft",11499,,34.78563353,26.39807163,15152.62197
alappuzha,Thuravoor,₹96 Lac,9600000,"5,227 sqft",5227,,1836.617563,11.99954086,800030.6103
alappuzha,Kayamkulam,₹17 Lac,1700000,"1,633 sqft",1633,,1041.028781,3.748852158,453472.1372
alappuzha,Kommady,₹70 Lac,7000000,"2,722 sqft",2722,,2571.638501,6.248852158,1120205.731
alappuzha,Vazhicherry Ward,₹2.2 Cr,22000000,"9,583 sqft",9583,,2295.732025,21.99954086,1000020.87
alappuzha,Ezhupunna,₹2 Cr,20000000,"34,848 sqft",34848,,573.9210285,80,250000
alappuzha,Haripad,₹26 Lac,2600000,"5,662 sqft",5662,,459.2016955,12.99816345,200028.2586
alappuzha,Thyckattusery,₹4.25 Cr,42500000,"71,874 sqft",71874,,591.3125748,165,257575.7576
alappuzha,Venmony,₹84 Lac,8400000,"9,147 sqft",9147,,918.33388,20.99862259,400026.2381
alappuzha,Kattanam,₹3.75 Cr,37500000,"54,450 sqft",54450,,688.7052342,125,300000
alappuzha,Chengannur,₹12.8 Lac,1280000,"3,484 sqft",3484,,367.3938002,7.998163453,160036.7394
alappuzha,Cherthala,₹42 Lac,4200000,"6,098 sqft",6098,,688.75041,13.99908173,300019.6786
alappuzha,Chengannur,₹93 Lac,9300000,"13,503 sqft",13503,,688.7358365,30.99862259,300013.3304
alappuzha,Aryad South,₹66 Lac,6600000,"5,227 sqft",5227,,1262.674574,11.99954086,550021.0446
alappuzha,Mammood,₹5 Cr,50000000,"10,890 sqft",10890,,4591.368228,25,2000000
alappuzha,Pazhaveedu,₹40 Lac,4000000,"4,356 sqft",4356,,918.2736455,10,400000
alappuzha,Kanichukulangara,₹40 Lac,4000000,"8,712 sqft",8712,,459.1368228,20,200000
alappuzha,Cherthala,₹30 Lac,3000000,"2,178 sqft",2178,,1377.410468,5,600000
alappuzha,Karuvatta,₹1.8 Lac,180000,"86,111 sqft",86111,,2.090325278,197.6836547,910.545691
alappuzha,Cheppad,₹1.35 Cr,13500000,"10,018 sqft",10018,,1347.574366,22.99816345,587003.3939
alappuzha,Mavelikara,₹60 Lac,6000000,"13,068 sqft",13068,,459.1368228,30,200000
alappuzha,Chengannur,₹66 Lac,6600000,"5,227 sqft",5227,,1262.674574,11.99954086,550021.0446
alappuzha,Mavelikara,₹20 Lac,2000000,"4,356 sqft",4356,,459.1368228,10,200000
alappuzha,Vallikunnam,₹50 Lac,5000000,"11,761 sqft",11761,,425.1339172,26.99954086,185188.3343
alappuzha,Ambalapuzha,₹1.6 Cr,16000000,"6,098 sqft",6098,,2623.811086,13.99908173,1142932.109
